565668	102.732	24.98221
565756	102.746	24.98604
565494	102.749	24.988197
565532	102.763	25.0001
565578	102.769	25.01036
566971	102.77	25.01896
567007	102.77	25.027222
567009	102.769	25.033055
566720	102.764	25.04446
568098	102.754	25.05378
566643	102.744	25.05965
566604	102.74	25.06162
566740	102.729	25.06275
566666	102.718	25.06268
567498	102.714	25.061944
565645	102.704	25.05773
566354	102.695	25.05141
566090	102.687	25.04281
567212	102.685	25.038284
565822	102.682	25.03012
567353	102.681	25.0252
565998	102.682	25.01405
567159	102.686	25.005124
567266	102.689	25.00074
565841	102.704	24.98862
567491	102.707	24.9864
33192	102.709	24.98496
565393	102.714	24.9832
565668	102.732	24.98221
